ID	tipo	proyecto	fecha_inicio	fecha_fin	semana_inicio	semana_fin	Fases	Dependencia	titulo	descripcion	area	responsable	status
1	tarea	arconte_retail	20/04/2026	24/04/2026	S1	S1	1	N/A	Planeación	Planeacio: 5 modelos base requeridos (fardeo, rostros, caja, horario, zonas) + alcance de plataforma	PM	Abelardo / Jonathan	COMPLETADO
2	tarea	arconte_retail	20/04/2026	24/04/2026	S1	S1	1	1	Arquitectura	Definicion arquitectura general + stack tecnologico (backend, frontend, DB)	Infra	Juan	COMPLETADO
3	tarea	arconte_retail	20/04/2026	28/04/2026	S1	S2	1	1	Despliegue	Setup repositorio, CI/CD y ambientes (dev/staging/prod)	Infra	Juan	EN PROCESO
4	tarea	arconte_retail	20/04/2026	29/05/2026	S1	S6	1	3	Infraestructura	Setup servidor / GPU - cloud mientras llega on-premise,!! POD requerido para CV (asumido disponible en escenario ideal)	Infra	Juan	COMPLETADO
5	tarea	arconte_retail	20/04/2026	15/05/2026	S1	S4	2	8	Modelo Fardeo	Modelo fardeo (vanilla) - entrenamiento, validacion y pruebas	AI Eng	Sergio	COMPLETADO
6	tarea	arconte_retail	20/04/2026	15/05/2026	S1	S4	2	8	Modelo Rostros	Modelo rostros con ID de empleado (vanilla) - entrenamiento, validacion y pruebas	AI Eng	Rodrigo	COMPLETADO
7	tarea	arconte_retail	13/05/2026	15/05/2026	S3	S4	2	8	Modelo Zonas ROI	Modelo zonas ROI (vanilla) - entrenamiento, validacion y pruebas	AI Eng	Jonathan	COMPLETADO
8	tarea	arconte_retail	20/04/2026	15/05/2026	S1	S4	2	1	Curación Datasets	Curacion y validacion de datasets fardeo + rostros	Datos	Equipo IA	COMPLETADO
9	tarea	arconte_retail	20/04/2026	09/05/2026	S1	S3	2	4	Pipeline Inferencia	Pipeline ingesta de video + motor de inferencia (base)	AI Eng	Juan	COMPLETADO
10	tarea	arconte_retail	20/04/2026	13/05/2026	S1	S4	2	4	Base Datos	Base de datos: esquema eventos, video y detecciones	AI Eng	Juan	COMPLETADO
11	tarea	arconte_retail	20/04/2026	09/05/2026	S1	S3	2	1	Diseño UI/UX	Diseño UI/UX + estructura base de plataforma	Frontend	Juan	COMPLETADO
12	tarea	arconte_retail	18/05/2026	18/05/2026	S5	S5	3	5,6,7	Correccion y mejora	Correccion y mejora de los modelos presentados	AI Eng	Equipo IA	COMPLETADO
13	tarea	arconte_retail	12/05/2026	26/05/2026	S4	S6	3	5	Transferencia de conocimiento	Transferencia de conocimiento Sergio - Israel	AI Eng	Israel	COMPLETADO
14	tarea	arconte_retail	19/05/2026	20/05/2026	S5	S5	3	N/A	Presentaciones	Presentaciones IPN sobre Celestial Dynamics	AI Eng	Equipo IA	COMPLETADO
15	tarea	arconte_retail	12/05/2026	15/05/2026	S4	S4	3	1--11	Auditoría	Auditoría Arconte Reatial de la fase 1 y 2	Infra	Adrian	COMPLETADO
16	tarea	arconte_retail	14/05/2026	28/05/2026	S4	S6	3	15	Corrección y estabilización	Corrección y estabilización de backend	Infra	Juan	COMPLETADO
17	tarea	arconte_retail	15/05/2026	05/06/2026	S5	S7	3	16	API Interna	API interna: endpoints para frontend + sistema de alertas	Infra	Juan	COMPLETADO
18	tarea	arconte_retail	18/05/2026	18/05/2026	S5	S5	3	1	Front base building	Front base: estructura, componentes, dashboard — Juan construye S6–S8	Frontend	Juan	COMPLETADO
19	tarea	arconte_retail	18/05/2026	18/05/2026	S5	S5	3	19	Autoetiquetado	Autoetiquetado: guardar frames de detecciones para reentrenamiento	Infra	Juan	COMPLETADO
20	tarea	arconte_retail	15/06/2026	19/06/2026	S9	S9	4	1 -- 19	Integración completa	3 modelos vanilla en plataforma	AI Eng	Equipo IA	EN PROCESO
21	tarea	arconte_retail	18/05/2026	22/05/2026	S5	S5	4	N/A	Sponsor Requirements	Reunión con Kiosko: obtención de requerimientos reales + solicitud de datasets (videos tienda, datos caja abierta/cerrada, horario apertura/cierre) + confirmación POD	PM	Abelardo	EN ESPERA
22	tarea	arconte_retail	18/05/2026	05/06/2026	S5	S7	5	22	Labaleing	Etiquetado de base de datos de KISOKO Train -Test)	AI Eng	Equipo IA	EN ESPERA
23	tarea	arconte_retail	25/05/2026	03/06/2026	S6	S7	5	5,22	Fine-tuning Fardeo	Fine-tuning fardeo con videos reales de tienda Kiosko	AI Eng	Israel	EN ESPERA
24	tarea	arconte_retail	25/05/2026	03/06/2026	S6	S7	5	6,22	Fine-tuning Faces	Fine-tuning rostros con videos reales de tienda Kiosko	AI Eng	Rodrigo	EN ESPERA
25	tarea	arconte_retail	25/05/2026	27/05/2026	S6	S6	5	7,22	Calibración ROI	Calibración zonas ROI con ambiente real Kiosko	AI Eng	Jonathan	EN ESPERA
26	tarea	arconte_retail	01/06/2026	05/06/2026	S7	S7	5	22	AI research Cajas	Research + dataset + entrenamiento: caja abierta/cerrada (datos Kiosko)	AI Eng	Israel	EN ESPERA
27	tarea	arconte_retail	29/05/2026	05/06/2026	S6	S7	5	22	AI research Horarios	Research + dataset + entrenamiento: horario apertura/cierre (datos Kiosko)	AI Eng	Rodrigo	EN ESPERA
28	tarea	arconte_retail	08/06/2026	12/06/2026	S8	S8	5	22	Metricas	Matriz de pruebas V1: mAP, F1, FP/FN en condiciones reales	AI Eng	Equipo IA	EN ESPERA
29	tarea	arconte_retail	08/06/2026	12/06/2026	S8	S8	5	22	Optimizacion	Optimización de falsos positivos con operadores en condiciones reales	AI Eng	Equipo IA	EN ESPERA
